ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7146.664
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5992.301
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,6001.5728
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,7143.8843
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,5958.766
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,6905.647
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,5987.7656
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6688.8726
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7176.9473
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7262.8545
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,7266.4937
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,6013.6465
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,6008.8057
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,5976.359
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,7184.2466
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7277.717
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,5937.2256
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,5982.217
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5949.073
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,6864.06
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7187.198
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5957.783
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,7183.402
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,5983.52
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7153.959
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7198.4067
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,6902.9907
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,5993.2183
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,5978.685
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,6105.0596
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,5986.968
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,5940.0767
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7185.3125
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,7157.7505
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7208.5645
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,6850.9844
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,6001.7363
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,5933.8716
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,6779.2363
40,Chau_Thanh,10.437524,105.202166,SA,D,20-07-2022,2.31,5952.474
41,Chau_Thanh,10.414613,105.125615,WS,T,27-03-2022,3.85,7263.82
42,Thoai_Son,10.28697,105.341571,SA,T,20-07-2022,1.78,5960.1265
43,Chau_Phu,10.64394,105.165296,SA,T,05-08-2022,1.4,6374.5576
44,Chau_Thanh,10.420981,105.295797,WS,T,25-03-2022,1.76,7262.5283
45,Thoai_Son,10.340626,105.172116,SA,T,23-07-2022,3.0,5999.4673
46,Chau_Phu,10.625193,105.181059,SA,D,09-08-2022,3.0,6215.7104
47,Chau_Phu,10.479304,105.102943,SA,D,20-07-2022,2.9,5965.306
48,Chau_Thanh,10.392899,105.188514,WS,T,24-03-2022,1.43,7235.43
49,Chau_Thanh,10.426536,105.115181,SA,T,14-07-2022,1.43,5937.486
50,Chau_Phu,10.552114,105.091399,SA,D,05-08-2022,3.6,6376.179
51,Chau_Phu,10.541934,105.247538,WS,T,10-04-2022,2.0,7143.0483
52,Thoai_Son,10.303437,105.381252,WS,T,28-03-2022,2.1,7321.6133
53,Thoai_Son,10.368837,105.205763,SA,T,21-07-2022,2.3,5991.7656
54,Chau_Thanh,10.440557,105.250671,WS,T,27-03-2022,1.76,7287.6533
55,Chau_Thanh,10.430707,105.315671,SA,T,10-07-2022,1.54,7153.6377
56,Chau_Thanh,10.378696,105.309113,WS,T,27-03-2022,1.32,7233.293
57,Thoai_Son,10.283467,105.267082,WS,T,20-04-2022,2.2,6961.2407
58,Chau_Thanh,10.436907,105.236241,WS,T,27-03-2022,1.375,7298.068
59,Chau_Thanh,10.387619,105.243467,SA,T,19-07-2022,1.3,6071.7847
60,Chau_Phu,10.482003,105.203866,SA,T,15-07-2022,3.0,5994.655
61,Chau_Phu,10.545098,105.112895,SA,D,20-07-2022,3.6,5941.76
62,Thoai_Son,10.279477,105.288145,WS,T,10-04-2022,2.0,7148.169
63,Chau_Thanh,10.40466,105.311554,SA,T,17-07-2022,1.87,5998.058
64,Thoai_Son,10.34489,105.243935,SA,T,23-07-2022,2.3,5952.942
65,Chau_Phu,10.623506,105.132794,WS,T,10-04-2022,5.0,7122.262
66,Thoai_Son,10.303766,105.203102,WS,T,16-04-2022,2.2,7124.823
67,Chau_Phu,10.656963,105.152679,WS,D,10-04-2022,3.0,7097.412
68,Thoai_Son,10.312202,105.330633,WS,T,10-04-2022,3.0,7172.5107
69,Chau_Thanh,10.440335,105.22309,WS,D,27-03-2022,1.76,7272.4185
70,Thoai_Son,10.306886,105.290958,SA,T,20-07-2022,1.85,5964.119
71,Chau_Thanh,10.392045,105.307085,SA,T,17-07-2022,1.43,5939.5195
72,Chau_Thanh,10.375619,105.124248,WS,T,24-03-2022,1.87,7217.1895
73,Thoai_Son,10.313955,105.243521,SA,T,20-07-2022,1.3,6063.4385
74,Chau_Phu,10.592666,105.141217,SA,T,05-08-2022,2.8,6403.078
75,Thoai_Son,10.266311,105.23555,WS,T,20-04-2022,1.5,7212.167
76,Chau_Thanh,10.386546,105.19302,SA,T,14-07-2022,1.65,5955.862
77,Thoai_Son,10.282365,105.276189,WS,T,10-04-2022,1.91,7142.26
78,Thoai_Son,10.33791,105.357013,SA,T,20-07-2022,2.0,5935.6
79,Thoai_Son,10.31856,105.374468,WS,D,28-03-2022,1.4,7288.6514
80,Chau_Thanh,10.429212,105.141436,WS,D,27-03-2022,1.21,7274.789
81,Chau_Phu,10.474439,105.216928,SA,T,15-07-2022,7.0,5954.6553
82,Chau_Thanh,10.443488,105.236111,WS,T,27-03-2022,1.65,7261.1323
83,Chau_Thanh,10.409367,105.355252,WS,T,25-03-2022,2.42,7234.731
84,Thoai_Son,10.292156,105.361294,SA,T,12-07-2022,2.3,6840.419
85,Chau_Phu,10.469839,105.211568,WS,T,01-04-2022,4.0,7216.6294
86,Thoai_Son,10.257436,105.217205,SA,T,22-07-2022,2.3,6053.4775
87,Chau_Phu,10.658291,105.127704,WS,T,10-04-2022,3.0,7143.464
88,Chau_Thanh,10.407982,105.123304,WS,D,27-03-2022,2.75,7261.623
89,Thoai_Son,10.320684,105.272431,SA,T,20-07-2022,3.0,5966.9585
90,Chau_Phu,10.501648,105.096892,WS,T,10-04-2022,1.2,7146.85
91,Chau_Phu,10.490352,105.23065,WS,T,02-04-2022,4.0,7145.645
92,Thoai_Son,10.34489,105.243935,WS,T,12-04-2022,2.3,6863.8374
93,Chau_Thanh,10.440557,105.250671,SA,T,28-07-2022,1.76,6026.777
94,Thoai_Son,10.320371,105.259016,WS,T,13-04-2022,1.52,7215.037
95,Thoai_Son,10.250745,105.24539,WS,T,20-04-2022,3.0,7174.0327
96,Chau_Thanh,10.435839,105.132981,SA,D,26-07-2022,1.21,5992.4873
97,Chau_Phu,10.529357,105.147388,WS,T,10-04-2022,2.0,7139.6943
98,Chau_Thanh,10.452537,105.205118,SA,T,20-07-2022,5.5,5962.97
99,Chau_Thanh,10.394341,105.126836,SA,T,14-07-2022,4.4,5951.9473
100,Chau_Phu,10.48065,105.130089,WS,T,10-04-2022,2.0,7176.3667
