ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7131.241349890782
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5996.597719796561
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,6130.975702903347
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,7137.728100269916
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,6013.0549973407105
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,7053.550349531771
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,6066.463713453812
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6072.863485240335
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7021.454813664488
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7008.711802220729
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,6177.313701582728
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,6138.399895498073
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,6048.040140344612
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,6000.541129372708
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,6238.040193008268
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7157.0652295058435
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,6027.906641408807
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,6193.832029703443
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5999.942002055029
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,7007.034836607321
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7181.069903275912
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5999.669059491091
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,7041.46939413437
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,6044.217569852869
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7099.05873107315
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7152.64322900023
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,7061.680190157407
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,6057.625208856209
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,6009.879935362891
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,6025.08950176415
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,6005.267092488122
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,6032.930544726842
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7177.229415078955
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,7087.098555298159
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7116.636759783873
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,7107.524007108291
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,6043.996058206556
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,6081.691029029104
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,6973.768883304512
40,Chau_Thanh,10.437524,105.202166,SA,D,20-07-2022,2.31,6069.583446247265
41,Chau_Thanh,10.414613,105.125615,WS,T,27-03-2022,3.85,7185.647694848102
42,Thoai_Son,10.28697,105.341571,SA,T,20-07-2022,1.78,6015.341240065168
43,Chau_Phu,10.64394,105.165296,SA,T,05-08-2022,1.4,6068.5897276334
44,Chau_Thanh,10.420981,105.295797,WS,T,25-03-2022,1.76,7181.017596061111
45,Thoai_Son,10.340626,105.172116,SA,T,23-07-2022,3.0,6058.6441410008065
46,Chau_Phu,10.625193,105.181059,SA,D,09-08-2022,3.0,6263.918235671443
47,Chau_Phu,10.479304,105.102943,SA,D,20-07-2022,2.9,5996.430025406441
48,Chau_Thanh,10.392899,105.188514,WS,T,24-03-2022,1.43,7097.142798471985
49,Chau_Thanh,10.426536,105.115181,SA,T,14-07-2022,1.43,6145.671591707705
50,Chau_Phu,10.552114,105.091399,SA,D,05-08-2022,3.6,6322.551805791965
51,Chau_Phu,10.541934,105.247538,WS,T,10-04-2022,2.0,7135.551359294425
52,Thoai_Son,10.303437,105.381252,WS,T,28-03-2022,2.1,7158.3381448805785
53,Thoai_Son,10.368837,105.205763,SA,T,21-07-2022,2.3,5987.378410150458
54,Chau_Thanh,10.440557,105.250671,WS,T,27-03-2022,1.76,7168.972045747821
55,Chau_Thanh,10.430707,105.315671,SA,T,10-07-2022,1.54,6733.137139897071
56,Chau_Thanh,10.378696,105.309113,WS,T,27-03-2022,1.32,7178.488536894753
57,Thoai_Son,10.283467,105.267082,WS,T,20-04-2022,2.2,6953.431785996861
58,Chau_Thanh,10.436907,105.236241,WS,T,27-03-2022,1.375,7191.389782716176
59,Chau_Thanh,10.387619,105.243467,SA,T,19-07-2022,1.3,5981.731040393559
60,Chau_Phu,10.482003,105.203866,SA,T,15-07-2022,3.0,6110.3391229177405
61,Chau_Phu,10.545098,105.112895,SA,D,20-07-2022,3.6,5991.807322723495
62,Thoai_Son,10.279477,105.288145,WS,T,10-04-2022,2.0,7152.231649669811
63,Chau_Thanh,10.40466,105.311554,SA,T,17-07-2022,1.87,6144.216674553004
64,Thoai_Son,10.34489,105.243935,SA,T,23-07-2022,2.3,6008.741121841969
65,Chau_Phu,10.623506,105.132794,WS,T,10-04-2022,5.0,7068.319022940017
66,Thoai_Son,10.303766,105.203102,WS,T,16-04-2022,2.2,7173.686438749652
67,Chau_Phu,10.656963,105.152679,WS,D,10-04-2022,3.0,6940.488622077923
68,Thoai_Son,10.312202,105.330633,WS,T,10-04-2022,3.0,7123.72261506509
69,Chau_Thanh,10.440335,105.22309,WS,D,27-03-2022,1.76,7132.383902899031
70,Thoai_Son,10.306886,105.290958,SA,T,20-07-2022,1.85,6008.744568840064
71,Chau_Thanh,10.392045,105.307085,SA,T,17-07-2022,1.43,5991.818134313985
72,Chau_Thanh,10.375619,105.124248,WS,T,24-03-2022,1.87,7113.202693988258
73,Thoai_Son,10.313955,105.243521,SA,T,20-07-2022,1.3,5995.8932799348395
74,Chau_Phu,10.592666,105.141217,SA,T,05-08-2022,2.8,6198.462192313394
75,Thoai_Son,10.266311,105.23555,WS,T,20-04-2022,1.5,7076.415195251155
76,Chau_Thanh,10.386546,105.19302,SA,T,14-07-2022,1.65,6115.256675279812
77,Thoai_Son,10.282365,105.276189,WS,T,10-04-2022,1.91,7106.653593474373
78,Thoai_Son,10.33791,105.357013,SA,T,20-07-2022,2.0,6051.695238398688
79,Thoai_Son,10.31856,105.374468,WS,D,28-03-2022,1.4,7141.404386078798
80,Chau_Thanh,10.429212,105.141436,WS,D,27-03-2022,1.21,7155.173410750711
81,Chau_Phu,10.474439,105.216928,SA,T,15-07-2022,7.0,6037.552420438074
82,Chau_Thanh,10.443488,105.236111,WS,T,27-03-2022,1.65,7165.392229301027
83,Chau_Thanh,10.409367,105.355252,WS,T,25-03-2022,2.42,7161.641007805621
84,Thoai_Son,10.292156,105.361294,SA,T,12-07-2022,2.3,6272.652284998792
85,Chau_Phu,10.469839,105.211568,WS,T,01-04-2022,4.0,7027.560462323046
86,Thoai_Son,10.257436,105.217205,SA,T,22-07-2022,2.3,6076.54919956977
87,Chau_Phu,10.658291,105.127704,WS,T,10-04-2022,3.0,7135.12377078901
88,Chau_Thanh,10.407982,105.123304,WS,D,27-03-2022,2.75,7127.111307988299
89,Thoai_Son,10.320684,105.272431,SA,T,20-07-2022,3.0,5984.110809903066
90,Chau_Phu,10.501648,105.096892,WS,T,10-04-2022,1.2,7113.412768610373
91,Chau_Phu,10.490352,105.23065,WS,T,02-04-2022,4.0,7060.6040029047845
92,Thoai_Son,10.34489,105.243935,WS,T,12-04-2022,2.3,7115.626141500924
93,Chau_Thanh,10.440557,105.250671,SA,T,28-07-2022,1.76,6148.081767434432
94,Thoai_Son,10.320371,105.259016,WS,T,13-04-2022,1.52,7108.377495403011
95,Thoai_Son,10.250745,105.24539,WS,T,20-04-2022,3.0,7121.215839981214
96,Chau_Thanh,10.435839,105.132981,SA,D,26-07-2022,1.21,6017.4301134515135
97,Chau_Phu,10.529357,105.147388,WS,T,10-04-2022,2.0,7157.040765203526
98,Chau_Thanh,10.452537,105.205118,SA,T,20-07-2022,5.5,6087.504042912854
99,Chau_Thanh,10.394341,105.126836,SA,T,14-07-2022,4.4,6040.45750390246
100,Chau_Phu,10.48065,105.130089,WS,T,10-04-2022,2.0,7080.524972447855
