ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7150.379
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5581.1016
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,6067.4893
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,6364.034
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,5820.0264
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,6671.667
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,5877.04
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6272.3022
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7112.44
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7241.1343
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,6673.05
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,5495.9404
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,5840.6104
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,5646.8135
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,6128.2285
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7045.15
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,6039.8896
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,5826.5166
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,5715.663
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,6948.1157
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7320.44
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5470.647
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,6589.737
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,5811.6143
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7304.599
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7142.329
