ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7279.193
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,5825.876
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,6193.748
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,6868.4873
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,6054.053
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,7058.478
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,6009.5117
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,6652.846
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,7284.447
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,7286.0522
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,7199.3604
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,6016.8213
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,6077.75
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,5945.016
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,7155.565
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,7234.897
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,6002.735
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,6020.492
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,6172.37
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,7148.6655
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,7260.5703
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,5859.338
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,6800.522
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,5875.4697
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,7091.2344
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,7314.979
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,7169.336
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,5990.038
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,5958.5312
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,5977.6143
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,5935.526
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,6179.982
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7241.7812
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,6960.4385
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7171.324
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,6772.073
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,5983.649
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,5973.7334
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,7046.6626
40,Chau_Thanh,10.437524,105.202166,SA,D,20-07-2022,2.31,6050.488
