iter	RMSE
0	0.9811518062
1	0.9630876343
2	0.9455841139
3	0.9285122243
4	0.9122858509
5	0.8966327934
6	0.881751687
7	0.8671564147
8	0.8530963258
9	0.839491117
10	0.8264591556
11	0.8138496938
12	0.8015893746
13	0.7902222325
14	0.7790764479
15	0.7682466713
16	0.7581385713
17	0.748372383
18	0.7388121745
19	0.7296768062
20	0.7211704461
21	0.7130810222
22	0.7054768945
23	0.6976762812
24	0.6905265474
25	0.6835061218
26	0.6769447132
27	0.6704735038
28	0.6643266113
29	0.6582590135
30	0.6525351101
31	0.6470961195
32	0.6421631946
33	0.6370897939
34	0.632418393
35	0.627791172
36	0.6235141481
37	0.6194559479
38	0.6152466811
39	0.6112690773
40	0.6075730701
41	0.6040646091
42	0.6008908565
43	0.5976323915
44	0.5945106557
45	0.5914237424
46	0.5886692939
47	0.5858317342
48	0.5830174377
49	0.5806170446
50	0.5782289539
51	0.5758591939
52	0.5735837209
53	0.5712952049
54	0.56899799
55	0.5668295088
56	0.5646581093
57	0.5627844666
58	0.5607454707
59	0.5593343583
60	0.5574997025
61	0.5557405272
62	0.5537604639
63	0.5519519505
64	0.5506657718
65	0.5492472672
66	0.5479369418
67	0.5467628804
68	0.5452462561
69	0.5439283069
70	0.5423393833
71	0.5412265757
72	0.5400146924
73	0.5386922584
74	0.537357725
75	0.5364697577
76	0.5351924656
77	0.5341135966
78	0.5331777632
79	0.5320341057
80	0.5311509835
81	0.5302191436
82	0.5291151459
83	0.5278962162
84	0.527032462
85	0.5261960548
86	0.5249622588
87	0.5242549248
88	0.5236498623
89	0.5226724436
90	0.5218773958
91	0.5207283847
92	0.519849164
93	0.5188588836
94	0.5179426933
95	0.5173451015
96	0.516211661
97	0.5155359483
98	0.5146301045
99	0.5138193871
100	0.5130916469
101	0.5122517561
102	0.5112913664
103	0.5109112145
104	0.5102282406
105	0.5096852444
106	0.5090274812
107	0.5081324086
108	0.5075704393
109	0.5068746951
110	0.5064650223
111	0.5057185468
112	0.5050522546
113	0.5043481752
114	0.5036755016
115	0.5028829143
116	0.5024422901
117	0.5019555468
118	0.501537814
119	0.5007487363
120	0.5001849889
121	0.4993993689
122	0.4987638524
123	0.498080007
124	0.4974389499
125	0.4967174611
126	0.4960478319
127	0.4954530811
128	0.4950113222
129	0.4943629333
130	0.4935780646
131	0.4928376392
132	0.4924563145
133	0.4916036262
134	0.4911603014
135	0.4904066456
136	0.4899310381
137	0.4892142679
138	0.4887242997
139	0.488201267
140	0.4875486256
141	0.4869694565
142	0.4865080291
143	0.4859125107
144	0.4851325486
145	0.4845561734
146	0.4842238007
147	0.4836178792
148	0.483135617
149	0.4828596279
150	0.4825521448
151	0.4822664776
152	0.4817273633
153	0.4809133007
154	0.4800087782
155	0.4798241464
156	0.4792449024
157	0.4788357623
158	0.4781433252
159	0.4777782393
160	0.4773214283
161	0.4767177383
162	0.4759219737
163	0.4753667464
164	0.4749587933
165	0.474338438
166	0.473496471
167	0.4727509742
168	0.47234704
169	0.4719140553
170	0.471367445
171	0.470797202
172	0.4700393814
173	0.4695658972
174	0.4688074448
175	0.4677997081
176	0.4673594626
177	0.4668647481
178	0.4662279532
179	0.4655252074
180	0.4650270247
181	0.4646056737
182	0.4643249098
183	0.4639950781
184	0.4637365849
185	0.4634401326
186	0.4628376471
187	0.4621595029
188	0.4614373224
189	0.4608710944
190	0.4603736028
191	0.4598911054
192	0.4594429986
193	0.4588085608
194	0.458278315
195	0.4577496993
196	0.4573032082
197	0.457047014
198	0.4565666263
199	0.4556600665
200	0.4548603157
201	0.4546161526
202	0.4541709992
203	0.4537310694
204	0.453434238
205	0.453076133
206	0.452542394
207	0.4520220398
208	0.4515672617
209	0.451031312
210	0.4504663863
211	0.4501340833
212	0.4497250332
213	0.4492761921
214	0.4486852916
215	0.448316412
216	0.4479722407
217	0.4475658513
218	0.4466997009
219	0.4462270363
220	0.4456111912
221	0.4448260447
222	0.4443278359
223	0.4439078506
224	0.4435025086
225	0.4428654314
226	0.4424929229
227	0.441734576
228	0.4414024021
229	0.4405584745
230	0.4403447048
231	0.4395158558
232	0.439172507
233	0.4386872362
234	0.4383132237
235	0.4379844126
236	0.4375985468
237	0.4367725619
238	0.4362261911
239	0.435732751
240	0.4354764482
241	0.434980347
242	0.4345932953
243	0.4339002716
244	0.4330329463
245	0.4324571309
246	0.4321389517
247	0.4314896998
248	0.4304545812
249	0.4300818331
250	0.4295354181
251	0.4290044951
252	0.4288478272
253	0.4283586143
254	0.427978184
255	0.4275655409
256	0.427311728
257	0.4266492875
258	0.4258463889
259	0.4256365417
260	0.4252395198
261	0.4250529463
262	0.4244350838
263	0.4238652487
264	0.4234190154
265	0.4230169657
266	0.4228572211
267	0.4225818458
268	0.421854415
269	0.4208921628
270	0.4206232188
271	0.4201704129
272	0.41948481
273	0.4192241608
274	0.4188903552
275	0.4181278234
276	0.417617624
277	0.4170986235
278	0.4167185305
279	0.4164198048
280	0.4162115071
281	0.4160027758
282	0.4152641667
283	0.4145104952
284	0.4142058451
285	0.4136840542
286	0.4131210239
287	0.4125225287
288	0.4122323919
289	0.4115021106
290	0.41050575
291	0.4100894873
292	0.4098061845
293	0.4093912514
294	0.409196933
295	0.408819679
296	0.40863129
297	0.4083162152
298	0.4080545747
299	0.4078635152
300	0.4076143872
301	0.4072462283
302	0.406613469
303	0.4063783719
304	0.4060489161
305	0.4056578452
306	0.4050276772
307	0.4046400199
308	0.4042049924
309	0.4036422966
310	0.4031891219
311	0.4023772987
312	0.4020672366
313	0.4015594342
314	0.4010895292
315	0.4007363799
316	0.4001529586
317	0.3997722409
318	0.3990254891
319	0.3988990261
320	0.3986407225
321	0.3984034648
322	0.3976616689
323	0.397320521
324	0.3966823569
325	0.3962090185
326	0.3959980972
327	0.395643675
328	0.3952321893
329	0.3944381603
330	0.3943362782
331	0.3940226869
332	0.3936607451
333	0.3933817321
334	0.392835978
335	0.3920286579
336	0.3918068689
337	0.3911312046
338	0.3905202115
339	0.3900732119
340	0.389794161
341	0.3893689833
342	0.3891502894
343	0.3888755251
344	0.3883843672
345	0.3878872728
346	0.3874955469
347	0.387016653
348	0.3867553718
349	0.3863394361
350	0.3857285762
351	0.3854042496
352	0.3851199307
353	0.3844520385
354	0.3838691127
355	0.3837568401
356	0.3832949491
357	0.3830953135
358	0.3824638373
359	0.3818846914
360	0.3815715463
361	0.3810724122
362	0.3806375103
363	0.3804986902
364	0.3802588661
365	0.3799179548
366	0.3796738496
367	0.3793245588
368	0.3789997393
369	0.3788167873
370	0.3778804913
371	0.3776493415
372	0.3774712506
373	0.3773281439
374	0.3769711022
375	0.3766084848
376	0.3764202224
377	0.3760194829
378	0.3759269285
379	0.3754678088
380	0.3752007851
381	0.3748730502
382	0.3747502242
383	0.3746507206
384	0.3739524652
385	0.3731399694
386	0.3727278024
387	0.3723383925
388	0.3716069878
389	0.371464203
390	0.370834233
391	0.370100596
392	0.3696568432
393	0.3691615243
394	0.3689777591
395	0.3687251668
396	0.3681214308
397	0.3674713056
398	0.3671017671
399	0.3663601698
400	0.3659680827
401	0.3655768116
402	0.3652987709
403	0.3645926547
404	0.3639484198
405	0.3634132668
406	0.362802126
407	0.3626103974
408	0.3621974419
409	0.361891977
410	0.3616404388
411	0.3614170751
412	0.3610242104
413	0.3604018926
414	0.3601687667
415	0.3599295342
416	0.3597017381
417	0.3589943995
418	0.3582722264
419	0.3575313743
420	0.3573818353
421	0.357260568
422	0.3566956829
423	0.3561273249
424	0.3558873001
425	0.355657897
426	0.3553741195
427	0.3549663478
428	0.3548054203
429	0.3541047989
430	0.3538465445
431	0.3532101847
432	0.3524842824
433	0.3518646701
434	0.3511651049
435	0.3509177242
436	0.3504134291
437	0.3500449587
438	0.3499177627
439	0.3497503023
440	0.3493709589
441	0.3485642742
442	0.348398129
443	0.3482459071
444	0.347777558
445	0.3475175774
446	0.346977472
447	0.3465089897
448	0.3463356098
449	0.3456240214
450	0.344941026
451	0.3445443622
452	0.343880035
453	0.3434655763
454	0.3427861921
455	0.3421567038
456	0.3418275005
457	0.3417417783
458	0.3412518196
459	0.3410519923
460	0.3405338113
461	0.3401274975
462	0.3398277487
463	0.3394652596
464	0.3388198185
465	0.3386658395
466	0.3384612985
467	0.338347925
468	0.3377186103
469	0.3374686786
470	0.3371663832
471	0.3368952463
472	0.3363228827
473	0.3357184043
474	0.3353095029
475	0.3347490155
476	0.3344384155
477	0.3342461839
478	0.3337036133
479	0.3334789734
480	0.3330602492
481	0.3324552667
482	0.3319500231
483	0.3316852868
484	0.331154414
485	0.3308309789
486	0.3304755943
487	0.3301340273
488	0.3293149403
489	0.3287626276
490	0.3285192349
491	0.3279259975
492	0.3275187219
493	0.3270973615
494	0.3269811474
495	0.3263500808
496	0.3261343196
497	0.3258738011
498	0.3252533779
499	0.324686215
