iter	Passed	Remaining
0	45	22495
1	91	22680
2	134	22273
3	179	22203
4	225	22321
5	272	22452
6	326	23028
7	375	23117
8	426	23285
9	477	23406
10	527	23458
11	574	23371
12	624	23406
13	677	23513
14	728	23555
15	780	23608
16	834	23703
17	886	23740
18	938	23748
19	988	23734
20	1043	23792
21	1093	23763
22	1145	23762
23	1197	23756
24	1246	23682
25	1297	23659
26	1352	23695
27	1424	24014
28	1487	24156
29	1537	24092
30	1583	23961
31	1636	23926
32	1685	23849
33	1733	23761
34	1780	23659
35	1832	23618
36	1884	23578
37	1940	23593
38	1990	23533
39	2044	23514
40	2097	23482
41	2148	23426
42	2203	23413
43	2256	23381
44	2311	23373
45	2366	23351
46	2418	23312
47	2469	23253
48	2522	23219
49	2573	23165
50	2626	23123
51	2679	23086
52	2731	23035
53	2782	22978
54	2835	22941
55	2888	22900
56	2949	22923
57	3009	22932
58	3086	23068
59	3145	23070
60	3201	23039
61	3252	22974
62	3302	22905
63	3353	22848
64	3406	22796
65	3457	22737
66	3511	22693
67	3563	22641
68	3620	22617
69	3676	22585
70	3731	22547
71	3783	22490
72	3839	22456
73	3894	22418
74	3946	22364
75	4000	22316
76	4057	22288
77	4111	22244
78	4165	22198
79	4221	22163
80	4274	22112
81	4326	22054
82	4381	22010
83	4436	21970
84	4488	21915
85	4542	21869
86	4598	21828
87	4650	21774
88	4701	21711
89	4752	21651
90	4804	21595
91	4861	21557
92	4915	21512
93	4970	21470
94	5027	21431
95	5082	21390
96	5143	21368
97	5199	21328
98	5249	21263
99	5306	21226
100	5358	21167
101	5407	21101
102	5458	21040
103	5507	20969
104	5557	20908
105	5611	20859
106	5664	20806
107	5719	20759
108	5769	20695
109	5821	20638
110	5873	20583
111	5928	20539
112	5984	20494
113	6040	20451
114	6095	20407
115	6153	20369
116	6206	20318
117	6259	20264
118	6310	20205
119	6365	20156
120	6419	20107
121	6476	20067
122	6527	20005
123	6580	19953
124	6630	19891
125	6682	19834
126	6733	19776
127	6787	19725
128	6837	19665
129	6887	19601
130	6948	19572
131	6999	19514
132	7052	19459
133	7104	19405
134	7155	19346
135	7208	19294
136	7262	19243
137	7317	19193
138	7371	19144
139	7424	19090
140	7477	19037
141	7527	18977
142	7580	18924
143	7635	18875
144	7691	18830
145	7741	18770
146	7789	18706
147	7842	18651
148	7895	18599
149	7947	18544
150	7999	18488
151	8049	18429
152	8100	18371
153	8156	18326
154	8212	18279
155	8263	18221
156	8315	18167
157	8372	18121
158	8433	18086
159	8483	18027
160	8537	17977
161	8587	17917
162	8642	17867
163	8692	17808
164	8742	17748
165	8794	17695
166	8850	17648
167	8904	17596
